id,name,lat,lon,obs_q
001,Arcola Creek,,,
002,Ashtabula River,,,
003,Bay Creek,,,
004,Beaver Creek NY,,,
005,Beaver Creek OH,,,
006,Big Sister Creek,,,
007,Black River,,,
008,Brownhelm Creek,,,
009,Buffalo River,,,
010,Canadaway Creek,,,
011,Cattaragus Creek,,,
012,Cedar Creek,,,
013,Chagrin River,,,
014,Chautaqua Creek,,,
015,Cold Creek,,,
016,Conneaut Creek,,,
017,Corell Creek,,,
018,Cranberry Creek,,,
019,Crane Creek,,,
020,Crooked Brook,,,
021,Crooked Creek,,,
022,Cuyahoga River,,,
023,Doan Brook,,,
024,Doty Creek,,,
025,Eighteenmile Creek,,,
026,Elk Creek,,,
027,Euclid Creek,,,
028,Grand River,,,
029,Green Creek,,,
030,Halfway Creek,,,
031,Heider Ditch,,,
032,Huron River MI,,,
033,Huron River OH,,,
034,Laudenschlager Drain,,,
035,Little Pickeral Creek,,,
036,Martin Run,,,
037,Maumee River,,,
038,Mills Creek OH,,,
039,Muddy Creek MI,,,
040,Muddy Creek NY,,,
041,Muddy Creek OH,,,
042,Old Woman Creek,,,
043,Ottawa River OH,,,
044,Otter Creek MI,,,
045,Otter Creek OH,,,
046,Pickeral Creek,,,
047,Pike Creek,,,
048,Pipe Creek,,,
049,Plum Brook,,,
050,Plum Creek,,,
051,Portage River,,,
052,Porter Creek,,,
053,Racoon Creek,,,
054,River Raisin,,,
055,Rocky River,,,
056,Sandusky River,,,
057,Sandy Creek,,,
058,Sawmill Creek,,,
059,Silver Creek NY,,,
060,Silver creek OH,,,
061,Sixmile Creek,,,
062,Sixteenmile Creek,,,
063,Slippery Rock Creek,,,
064,Smoke Creek,,,
065,South Creek,,,
066,Stony Creek,,,
067,Swan Creek,,,
068,Toussaint River,,,
069,Trout Run,,,
070,Turtle Creek,,,
071,Twentymile Creek,,,
072,Unnamed NY,,,
073,Unnamed OH 1,,,
074,Unnamed OH 2,,,
075,Vermillion River,,,
076,Walnut Creek,,,
077,West Branch Cascade Creek,,,
078,Yellow Swale,,,
