,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,6.78314,0.83619,3.52848,8.03539,5.61692
1966-01-01,7.37965,1.17793,5.38216,8.34311,7.52356
1971-01-01,8.13331,1.102,6.5016,8.33886,7.80914
1976-01-01,8.32148,0.87701,8.13409,8.23968,8.9293
1981-01-01,9.08235,0.92848,9.50351,8.5876,9.93723
1986-01-01,9.16465,0.93555,9.08686,8.01224,8.87001
1991-01-01,9.67264,0.9869,6.97656,8.06482,6.35563
1996-01-01,9.51485,0.96915,4.66171,8.17654,4.29255
2001-01-01,8.30419,0.93358,5.27269,10.22415,8.12622
2006-01-01,11.94399,0.90494,4.06755,11.30508,4.33358
2011-01-01,12.54594,0.8661,7.6807,10.22712,6.22799
2016-01-01,13.50427,0.89832,10.52918,11.94847,9.8717
2021-01-01,14.8671,0.97472,10.83857,13.96689,10.91309
